Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA,R. GUAYUBÍN - AMINILLA
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0.02,0
08/05/2020 22:00,0,0,0.18,0
08/05/2020 23:00,0,0,0.84,0
09/05/2020 00:00,0.03,0,2.8,0
09/05/2020 01:00,0.29,0,7.59,0
09/05/2020 02:00,1.22,0,17.56,0
09/05/2020 03:00,3.63,0,35.94,0
09/05/2020 04:00,9.08,0,66.2,0.06
09/05/2020 05:00,19.94,0.03,111.23,0.47
09/05/2020 06:00,39.28,0.27,172.73,1.84
09/05/2020 07:00,70.35,1.13,250.86,5.37
09/05/2020 08:00,115.58,3.43,343.91,13.08
09/05/2020 09:00,175.79,8.61,448.46,27.61
09/05/2020 10:00,249.93,18.66,559.6,51.69
09/05/2020 11:00,335.08,35.84,671.54,86.95
09/05/2020 12:00,427.01,61.86,778.63,133.25
09/05/2020 13:00,520.8,97.12,875.86,188.73
09/05/2020 14:00,611.21,140.43,959.14,250.25
09/05/2020 15:00,693.31,189.41,1025.41,313.8
09/05/2020 16:00,763.28,240.96,1073.18,375.38
09/05/2020 17:00,819,292.05,1103.02,431.6
09/05/2020 18:00,860.31,340.25,1117.64,480.46
09/05/2020 19:00,888.97,384.05,1120.96,521.71
09/05/2020 20:00,907.88,423.12,1117.09,556.41
09/05/2020 21:00,920.31,458.07,1109.73,586.29
09/05/2020 22:00,929.37,490.14,1102.24,613.29
09/05/2020 23:00,938.03,520.86,1097.82,639.55
