Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. BAO,E. Bao,E. BAO,E. BAO,E. BAO
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,5,0,0,0
08/05/2020 00:00,0,5,0,0,0
08/05/2020 01:00,0,5,0,0,0
08/05/2020 02:00,0,5,0,0,0
08/05/2020 03:00,0,5,0,0,0
08/05/2020 04:00,0,5,0,0,0
08/05/2020 05:00,0,5,0,0,0
08/05/2020 06:00,0,5,0,0,0
08/05/2020 07:00,0,5,0,0,0
08/05/2020 08:00,0,5,0,0,0
08/05/2020 09:00,0,5,0,0,0
08/05/2020 10:00,0,5,0,0,0
08/05/2020 11:00,0,5,0,0,0
08/05/2020 12:00,0,5,0,0,0
08/05/2020 13:00,0,5,0,0,0
08/05/2020 14:00,0,5,0,0,0
08/05/2020 15:00,0,5,0,0,0
08/05/2020 16:00,0,5,0,0,0
08/05/2020 17:00,0,5,0,0,0
08/05/2020 18:00,0,5,0,0,0
08/05/2020 19:00,0,5,0,0,0
08/05/2020 20:00,0,5,0,0,0
08/05/2020 21:00,0,5,0,0,0
08/05/2020 22:00,0,5,0,0,0
08/05/2020 23:00,0,5,0,0.03,0
09/05/2020 00:00,0,5,0,0.42,0
09/05/2020 01:00,0,5,0,2.22,0
09/05/2020 02:00,0.06,5,0,7.83,0
09/05/2020 03:00,0.72,5,0,21.57,0
09/05/2020 04:00,3.39,5,0,49.35,0
09/05/2020 05:00,10.93,5,0,97.53,0
09/05/2020 06:00,28.01,5,0,171.6,0.15
09/05/2020 07:00,60.06,5,0.07,275.12,1.3
09/05/2020 08:00,111.71,5,0.76,408.9,5.27
09/05/2020 09:00,185.57,5,3.3,570,15.35
09/05/2020 10:00,281.31,5,10.02,751.53,35.79
09/05/2020 11:00,395.77,5,24.23,943.9,69.99
09/05/2020 12:00,524.12,5,48.89,1136.64,119.25
09/05/2020 13:00,660.4,5,85.18,1319.66,182.74
09/05/2020 14:00,798.28,5,132.38,1483.67,257.25
09/05/2020 15:00,930.93,5,187.94,1620.34,338.04
09/05/2020 16:00,1051.54,5,248.02,1723.53,419.85
09/05/2020 17:00,1154.77,5,308.85,1790.97,498.4
09/05/2020 18:00,1238.1,5,368.01,1825.08,571.59
09/05/2020 19:00,1302.1,5,425.06,1832.1,638.91
09/05/2020 20:00,1349.33,5,480.52,1820.05,700.55
09/05/2020 21:00,1383.11,5,534.86,1797.03,756.63
09/05/2020 22:00,1407.05,5,588.23,1770.43,807.69
09/05/2020 23:00,1425.07,5,640.83,1746.53,855.14
