Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,5,5,5,5
08/05/2020 00:00,5,5,5,5
08/05/2020 01:00,5,5,5,5
08/05/2020 02:00,5,5,5,5
08/05/2020 03:00,5,5,5,5
08/05/2020 04:00,5,5,5,5
08/05/2020 05:00,5,5,5,5
08/05/2020 06:00,5,5,5,5
08/05/2020 07:00,5,5,5,5
08/05/2020 08:00,5,5,5,5
08/05/2020 09:00,5,5,5,5
08/05/2020 10:00,5,5,5,5
08/05/2020 11:00,5,5,5,5
08/05/2020 12:00,5,5,5,5
08/05/2020 13:00,5,5,5,5
08/05/2020 14:00,5,5,5,5
08/05/2020 15:00,5,5,5,5
08/05/2020 16:00,5,5,5,5
08/05/2020 17:00,5,5,5,5
08/05/2020 18:00,5,5,5,5
08/05/2020 19:00,5,5,5,5
08/05/2020 20:00,5,5,5,5
08/05/2020 21:00,5,5,5.07,5
08/05/2020 22:00,5,5,5.58,5
08/05/2020 23:00,5.01,5,7.29,5
09/05/2020 00:00,5.28,5,11.43,5
09/05/2020 01:00,6.55,5,19.78,5
09/05/2020 02:00,9.99,5,34.62,5
09/05/2020 03:00,17.34,5,58.29,5.16
09/05/2020 04:00,30.91,5.13,92.73,6.18
09/05/2020 05:00,53.14,6.01,138.98,9.28
09/05/2020 06:00,85.81,8.67,197.03,16
09/05/2020 07:00,129.65,14.38,265.72,28.31
09/05/2020 08:00,184.17,24.81,342.86,48.31
09/05/2020 09:00,247.77,41.74,425.39,77.21
09/05/2020 10:00,317.7,66.21,509.55,114.89
09/05/2020 11:00,390.56,98.04,591.3,159.96
09/05/2020 12:00,462.76,135.99,666.89,210.2
09/05/2020 13:00,530.67,178.19,733.23,262.81
09/05/2020 14:00,591.03,222.32,788.03,314.88
09/05/2020 15:00,641.58,266.03,829.97,363.83
09/05/2020 16:00,681.37,307.51,859.05,407.58
09/05/2020 17:00,710.86,345.49,876.61,445.09
09/05/2020 18:00,731.6,379.26,884.98,476.55
09/05/2020 19:00,745.66,408.93,886.81,502.87
09/05/2020 20:00,755.22,435.24,884.69,525.32
09/05/2020 21:00,762.49,459.33,881.11,545.53
09/05/2020 22:00,769.73,482.64,878.48,565.28
09/05/2020 23:00,779.12,506.78,879.1,586.42
