Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,R. MAO - CENOVI,R. MAO - CENOVI,R. MAO - CENOVI,R. MAO - CENOVI
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0.02,0
09/05/2020 00:00,0,0,0.34,0
09/05/2020 01:00,0,0,1.83,0
09/05/2020 02:00,0.02,0,6.15,0
09/05/2020 03:00,0.45,0,15.55,0
09/05/2020 04:00,2.47,0,32.05,0
09/05/2020 05:00,8.18,0,56.96,0
09/05/2020 06:00,20.23,0,90.56,0.02
09/05/2020 07:00,40.42,0,132.01,0.54
09/05/2020 08:00,69,0.21,179.03,2.8
09/05/2020 09:00,104.54,1.44,228.38,8.79
09/05/2020 10:00,144.36,5.12,276.53,20.46
09/05/2020 11:00,185.29,13.01,320.6,38.31
09/05/2020 12:00,224.45,25.99,358.61,61.36
09/05/2020 13:00,259.35,43.42,388.98,87.44
09/05/2020 14:00,287.75,63.51,410.29,113.7
09/05/2020 15:00,308.03,83.91,421.71,137.12
09/05/2020 16:00,320.03,102.58,423.87,156.07
09/05/2020 17:00,325.19,118.46,418.96,170.57
09/05/2020 18:00,325.96,131.79,410.11,181.69
09/05/2020 19:00,324.74,143.3,400.19,190.75
09/05/2020 20:00,323.36,153.72,391.26,198.85
09/05/2020 21:00,322.88,163.63,384.4,206.71
09/05/2020 22:00,323.93,173.51,380.13,214.87
09/05/2020 23:00,327.21,184.07,379.05,224.06
