Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,EH LOS PILONES,EH LOS PILONES,EH LOS PILONES,EH LOS PILONES
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0,0
09/05/2020 00:00,0,0,0.07,0
09/05/2020 01:00,0,0,0.54,0
09/05/2020 02:00,0,0,2.19,0
09/05/2020 03:00,0.11,0,6.02,0
09/05/2020 04:00,0.84,0,12.81,0
09/05/2020 05:00,3.23,0,22.88,0
09/05/2020 06:00,8.46,0,36.1,0
09/05/2020 07:00,17.13,0,51.86,0.19
09/05/2020 08:00,29.05,0.08,69.16,1.21
09/05/2020 09:00,43.2,0.66,86.6,4.16
09/05/2020 10:00,58.05,2.58,102.71,9.77
09/05/2020 11:00,72.34,6.63,116.51,17.85
09/05/2020 12:00,85.23,12.88,127.63,27.59
09/05/2020 13:00,96.07,20.7,135.85,37.81
09/05/2020 14:00,104.18,28.96,140.79,47.15
09/05/2020 15:00,108.95,36.4,142.07,54.6
09/05/2020 16:00,110.43,42.29,139.91,59.79
09/05/2020 17:00,109.54,46.68,135.51,63.08
09/05/2020 18:00,107.66,50.06,130.49,65.3
09/05/2020 19:00,105.9,52.99,126.1,67.21
09/05/2020 20:00,104.8,55.8,122.88,69.18
09/05/2020 21:00,104.41,58.61,120.77,71.31
09/05/2020 22:00,104.59,61.44,119.55,73.56
09/05/2020 23:00,105.51,64.5,119.33,76.18
