Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,EH BOMA,EH BOMA,EH BOMA,EH BOMA
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0,0
09/05/2020 00:00,0,0,0,0
09/05/2020 01:00,0,0,0.03,0
09/05/2020 02:00,0,0,0.42,0
09/05/2020 03:00,0,0,2.27,0
09/05/2020 04:00,0.04,0,7.79,0
09/05/2020 05:00,0.51,0,21.11,0
09/05/2020 06:00,2.58,0,48.66,0
09/05/2020 07:00,8.45,0,97.51,0
09/05/2020 08:00,21.26,0,172.74,0.07
09/05/2020 09:00,45.09,0.02,275.96,0.72
09/05/2020 10:00,85.3,0.35,405.17,3.23
09/05/2020 11:00,147.51,1.77,555.02,9.62
09/05/2020 12:00,234.51,5.67,716.78,22.36
09/05/2020 13:00,344.17,13.9,879.29,44.24
09/05/2020 14:00,469.33,28.11,1031.97,79.04
09/05/2020 15:00,600.04,49.96,1167.1,129.76
09/05/2020 16:00,726.47,81.7,1279.53,195.58
09/05/2020 17:00,840.72,124.86,1364.9,271.45
09/05/2020 18:00,936.88,178.18,1419.31,349.74
09/05/2020 19:00,1010.61,237.1,1442.31,423
09/05/2020 20:00,1059.97,295.71,1439.35,486.04
09/05/2020 21:00,1087.17,349.76,1420.59,537.54
09/05/2020 22:00,1098.67,397.84,1395.95,579.62
09/05/2020 23:00,1102.38,440.88,1371.92,615.68
