Instante actual:,09/05/2020 23:00,,,
Valor inválido:,-1,,,
Nombre variable:,EH. MATA GRANDE,EH. MATA GRANDE,EH. MATA GRANDE,EH. MATA GRANDE
Tipo:,Q,Q,Q,Q
Modelo:,Lento_EHA-Normal,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,0,0,0,0
08/05/2020 00:00,0,0,0,0
08/05/2020 01:00,0,0,0,0
08/05/2020 02:00,0,0,0,0
08/05/2020 03:00,0,0,0,0
08/05/2020 04:00,0,0,0,0
08/05/2020 05:00,0,0,0,0
08/05/2020 06:00,0,0,0,0
08/05/2020 07:00,0,0,0,0
08/05/2020 08:00,0,0,0,0
08/05/2020 09:00,0,0,0,0
08/05/2020 10:00,0,0,0,0
08/05/2020 11:00,0,0,0,0
08/05/2020 12:00,0,0,0,0
08/05/2020 13:00,0,0,0,0
08/05/2020 14:00,0,0,0,0
08/05/2020 15:00,0,0,0,0
08/05/2020 16:00,0,0,0,0
08/05/2020 17:00,0,0,0,0
08/05/2020 18:00,0,0,0,0
08/05/2020 19:00,0,0,0,0
08/05/2020 20:00,0,0,0,0
08/05/2020 21:00,0,0,0,0
08/05/2020 22:00,0,0,0,0
08/05/2020 23:00,0,0,0,0
09/05/2020 00:00,0,0,0,0
09/05/2020 01:00,0,0,0.07,0
09/05/2020 02:00,0,0,0.79,0
09/05/2020 03:00,0,0,3.61,0
09/05/2020 04:00,0.03,0,11.12,0
09/05/2020 05:00,0.65,0,26.5,0
09/05/2020 06:00,3.52,0,52.42,0
09/05/2020 07:00,11.6,0,90.48,0
09/05/2020 08:00,28.56,0,140.79,0
09/05/2020 09:00,56.77,0,201.64,0.29
09/05/2020 10:00,96.34,0.04,269.39,2.1
09/05/2020 11:00,145.11,0.67,339.2,7.58
09/05/2020 12:00,199.46,3.22,406.32,19.5
09/05/2020 13:00,255.18,9.71,467.08,39.27
09/05/2020 14:00,308.2,21.92,518.71,66.11
09/05/2020 15:00,354.88,39.86,558.81,97.48
09/05/2020 16:00,392.08,61.83,585.42,129.75
09/05/2020 17:00,418.13,85.32,598.05,159.34
09/05/2020 18:00,433.53,108.22,598.54,184.2
09/05/2020 19:00,440.81,129.17,590.65,204.39
09/05/2020 20:00,443.31,147.97,578.76,221.13
09/05/2020 21:00,443.93,165.09,566.47,235.77
09/05/2020 22:00,444.74,181.17,556.11,249.38
09/05/2020 23:00,446.93,196.77,548.87,262.77
