Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. LÓPEZ ANGOSTURA,E. López Angostura,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA
Tipo:,E,S,E,E,E
Modelo:,Lento_EHA-Normal,Ges,Lento_EHA-Seco,Rap_EHA-Hum,Calibra_Z1
Instante \ unidades:,M3/S,M3/S,M3/S,M3/S,M3/S
07/05/2020 23:00,10,5,10,10,10
08/05/2020 00:00,10,5,10,10,10
08/05/2020 01:00,10,5,10,10,10
08/05/2020 02:00,10,5,10,10,10
08/05/2020 03:00,10,5,10,10,10
08/05/2020 04:00,10,5,10,10,10
08/05/2020 05:00,10,5,10,10,10
08/05/2020 06:00,10,5,10,10,10
08/05/2020 07:00,10,5,10,10,10
08/05/2020 08:00,10,5,10,10,10
08/05/2020 09:00,10,5,10,10,10
08/05/2020 10:00,10,5,10,10,10
08/05/2020 11:00,10,5,10,10,10
08/05/2020 12:00,10,5,10,10,10
08/05/2020 13:00,10,5,10,10,10
08/05/2020 14:00,10,5,10,10,10
08/05/2020 15:00,10,5,10,10,10
08/05/2020 16:00,10,5,10,10,10
08/05/2020 17:00,10,5,10,10,10
08/05/2020 18:00,10,5,10,10,10
08/05/2020 19:00,10,5,10,10,10
08/05/2020 20:00,10,5,10,10,10
08/05/2020 21:00,10,5,10,10,10
08/05/2020 22:00,10,5,10,10.02,10
08/05/2020 23:00,10,5,10,10.21,10
09/05/2020 00:00,10,5,10,11.05,10
09/05/2020 01:00,10.12,5,10,13.28,10
09/05/2020 02:00,10.78,5,10,17.56,10
09/05/2020 03:00,12.82,5,10,24.22,10
09/05/2020 04:00,17.02,5,10,33.17,10.09
09/05/2020 05:00,23.79,5,10.09,44.02,10.74
09/05/2020 06:00,33,5,10.71,56.15,12.87
09/05/2020 07:00,43.97,5,12.68,68.75,17.31
09/05/2020 08:00,55.57,5,16.68,80.8,24.06
09/05/2020 09:00,66.72,5,22.69,91.35,32.45
09/05/2020 10:00,76.67,5,30.13,99.93,41.51
09/05/2020 11:00,85.02,5,38.18,106.47,50.32
09/05/2020 12:00,91.5,5,45.91,110.92,58.18
09/05/2020 13:00,95.71,5,52.49,113.02,64.41
09/05/2020 14:00,97.34,5,57.33,112.55,68.49
09/05/2020 15:00,96.65,5,60.33,109.85,70.5
09/05/2020 16:00,94.53,5,61.95,105.91,71.09
09/05/2020 17:00,92.06,5,62.89,101.89,71.12
09/05/2020 18:00,90.01,5,63.71,98.58,71.21
09/05/2020 19:00,88.65,5,64.68,96.2,71.62
09/05/2020 20:00,87.88,5,65.81,94.64,72.29
09/05/2020 21:00,87.6,5,67.09,93.7,73.19
09/05/2020 22:00,87.98,5,68.72,93.56,74.54
09/05/2020 23:00,89.58,5,71.22,94.77,76.91
