Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH. PEÑA RANCHADERO,EH. PEÑA RANCHADERO,EH. PEÑA RANCHADERO,EH. PEÑA RANCHADERO,EH. PEÑA RANCHADERO
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,10,10,10,-1,-1
08/05/2020 00:00,10,10,10,-1,-1
08/05/2020 01:00,10,10,10,-1,-1
08/05/2020 02:00,10,10,10,-1,-1
08/05/2020 03:00,10,10,10,-1,-1
08/05/2020 04:00,10,10,10,-1,-1
08/05/2020 05:00,10,10,10,-1,-1
08/05/2020 06:00,10,10,10,-1,-1
08/05/2020 07:00,10,10,10,-1,-1
08/05/2020 08:00,10,10,10,-1,-1
08/05/2020 09:00,10,10,10,-1,-1
08/05/2020 10:00,10,10,10,-1,-1
08/05/2020 11:00,10,10,10,-1,-1
08/05/2020 12:00,10,10,10,-1,-1
08/05/2020 13:00,10,10,10,-1,-1
08/05/2020 14:00,10,10,10,-1,-1
08/05/2020 15:00,10,10,10,-1,-1
08/05/2020 16:00,10,10,10,-1,-1
08/05/2020 17:00,10,10,10,-1,-1
08/05/2020 18:00,10,10,10,-1,-1
08/05/2020 19:00,10,10,10,-1,-1
08/05/2020 20:00,10,10,10,-1,-1
08/05/2020 21:00,10,10,10,-1,-1
08/05/2020 22:00,10,10,10,-1,-1
08/05/2020 23:00,10,10,10,-1,-1
09/05/2020 00:00,10,10,10,-1,-1
09/05/2020 01:00,10.06,10.06,10.06,-1,-1
09/05/2020 02:00,10.5,10.5,10.5,-1,-1
09/05/2020 03:00,11.86,11.86,11.86,-1,-1
09/05/2020 04:00,14.79,14.79,14.79,-1,-1
09/05/2020 05:00,20.1,20.1,20.1,-1,-1
09/05/2020 06:00,28.75,28.75,28.75,-1,-1
09/05/2020 07:00,41.73,41.73,41.73,-1,-1
09/05/2020 08:00,59.56,59.56,59.56,-1,-1
09/05/2020 09:00,82.15,82.15,82.15,-1,-1
09/05/2020 10:00,108.92,108.92,108.92,-1,-1
09/05/2020 11:00,138.87,138.87,138.87,-1,-1
09/05/2020 12:00,170.83,170.83,170.83,-1,-1
09/05/2020 13:00,203.51,203.51,203.51,-1,-1
09/05/2020 14:00,235.76,235.76,235.76,-1,-1
09/05/2020 15:00,266.81,266.81,266.81,-1,-1
09/05/2020 16:00,296.2,296.2,296.2,-1,-1
09/05/2020 17:00,323.67,323.67,323.67,-1,-1
09/05/2020 18:00,349.28,349.28,349.28,-1,-1
09/05/2020 19:00,373.56,373.56,373.56,-1,-1
09/05/2020 20:00,397.42,397.42,397.42,-1,-1
09/05/2020 21:00,421.92,421.92,421.92,-1,-1
09/05/2020 22:00,448.27,448.27,448.27,-1,-1
09/05/2020 23:00,477.68,477.68,477.68,477.68,477.68
10/05/2020 00:00,510.59,511.05,511.52,510.59,511.52
10/05/2020 01:00,546.21,548.64,551.09,546.21,551.09
10/05/2020 02:00,583.4,590.03,596.72,583.4,596.72
10/05/2020 03:00,620.83,634.33,647.98,620.83,647.98
10/05/2020 04:00,656.61,680.37,704.41,656.61,704.41
10/05/2020 05:00,688.54,726.73,765.39,688.54,765.39
10/05/2020 06:00,715.23,771.83,829.21,715.23,829.21
10/05/2020 07:00,736.77,814.18,892.72,736.77,892.72
10/05/2020 08:00,753.74,852.48,952.76,753.74,952.76
10/05/2020 09:00,767,885.77,1006.52,767,1006.52
10/05/2020 10:00,777.48,913.51,1051.94,777.48,1051.94
10/05/2020 11:00,785.91,935.68,1088.2,785.91,1088.2
