Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,JAIBÓN,JAIBÓN,JAIBÓN,JAIBÓN,JAIBÓN
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0.01,0.01,0.01,-1,-1
09/05/2020 05:00,0.15,0.15,0.15,-1,-1
09/05/2020 06:00,0.62,0.62,0.62,-1,-1
09/05/2020 07:00,1.69,1.69,1.69,-1,-1
09/05/2020 08:00,3.73,3.73,3.73,-1,-1
09/05/2020 09:00,7.12,7.12,7.12,-1,-1
09/05/2020 10:00,12.01,12.01,12.01,-1,-1
09/05/2020 11:00,18.32,18.32,18.32,-1,-1
09/05/2020 12:00,25.73,25.73,25.73,-1,-1
09/05/2020 13:00,33.8,33.8,33.8,-1,-1
09/05/2020 14:00,42.01,42.01,42.01,-1,-1
09/05/2020 15:00,49.94,49.94,49.94,-1,-1
09/05/2020 16:00,57.3,57.3,57.3,-1,-1
09/05/2020 17:00,63.92,63.92,63.92,-1,-1
09/05/2020 18:00,69.79,69.79,69.79,-1,-1
09/05/2020 19:00,75.03,75.03,75.03,-1,-1
09/05/2020 20:00,79.84,79.84,79.84,-1,-1
09/05/2020 21:00,84.49,84.49,84.49,-1,-1
09/05/2020 22:00,89.34,89.34,89.34,-1,-1
09/05/2020 23:00,94.7,94.7,94.7,94.7,94.7
10/05/2020 00:00,100.63,100.82,101.01,100.63,101.01
10/05/2020 01:00,106.71,107.77,108.84,106.71,108.84
10/05/2020 02:00,112.47,115.41,118.4,112.47,118.4
10/05/2020 03:00,117.2,123.47,129.86,117.2,129.86
10/05/2020 04:00,120.05,131.56,143.31,120.05,143.31
10/05/2020 05:00,120.75,139.23,158.14,120.75,158.14
10/05/2020 06:00,119.57,146.01,173.16,119.57,173.16
10/05/2020 07:00,116.82,151.38,186.98,116.82,186.98
10/05/2020 08:00,112.64,154.83,198.38,112.64,198.38
10/05/2020 09:00,107.34,155.95,206.25,107.34,206.25
10/05/2020 10:00,101.13,154.58,210,101.13,210
10/05/2020 11:00,94.24,150.72,209.37,94.24,209.37
