Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,JARACOBA,JARACOBA,JARACOBA,JARACOBA,JARACOBA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0,0,0,-1,-1
09/05/2020 08:00,0,0,0,-1,-1
09/05/2020 09:00,0.02,0.02,0.02,-1,-1
09/05/2020 10:00,0.47,0.47,0.47,-1,-1
09/05/2020 11:00,2.41,2.41,2.41,-1,-1
09/05/2020 12:00,8.06,8.06,8.06,-1,-1
09/05/2020 13:00,21.34,21.34,21.34,-1,-1
09/05/2020 14:00,45.36,45.36,45.36,-1,-1
09/05/2020 15:00,79.69,79.69,79.69,-1,-1
09/05/2020 16:00,120.37,120.37,120.37,-1,-1
09/05/2020 17:00,161.67,161.67,161.67,-1,-1
09/05/2020 18:00,198.19,198.19,198.19,-1,-1
09/05/2020 19:00,226.89,226.89,226.89,-1,-1
09/05/2020 20:00,248.36,248.36,248.36,-1,-1
09/05/2020 21:00,265.35,265.35,265.35,-1,-1
09/05/2020 22:00,280.49,280.49,280.49,-1,-1
09/05/2020 23:00,295.19,295.19,295.19,295.19,295.19
10/05/2020 00:00,309.24,309.99,310.75,309.24,310.75
10/05/2020 01:00,321.06,325.38,329.78,321.06,329.78
10/05/2020 02:00,327.83,342.57,357.62,327.83,357.62
10/05/2020 03:00,324.93,364.14,404.37,324.93,404.37
10/05/2020 04:00,313.92,392.79,474.23,313.92,474.23
10/05/2020 05:00,302.14,428.89,560.86,302.14,560.86
10/05/2020 06:00,294.96,469.27,652.37,294.96,652.37
10/05/2020 07:00,292.87,509.1,738.19,292.87,738.19
10/05/2020 08:00,293.93,544.7,812.36,293.93,812.36
10/05/2020 09:00,296.55,574.11,872.21,296.55,872.21
10/05/2020 10:00,298.44,595.96,917,298.44,917
10/05/2020 11:00,297.6,607.74,943.51,297.6,943.51
