Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,CASTAÑUELAS,CASTAÑUELAS,CASTAÑUELAS,CASTAÑUELAS,CASTAÑUELAS
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0.03,0.03,0.03,-1,-1
09/05/2020 03:00,0.15,0.15,0.15,-1,-1
09/05/2020 04:00,0.4,0.4,0.4,-1,-1
09/05/2020 05:00,0.88,0.88,0.88,-1,-1
09/05/2020 06:00,1.68,1.68,1.68,-1,-1
09/05/2020 07:00,2.89,2.89,2.89,-1,-1
09/05/2020 08:00,4.62,4.62,4.62,-1,-1
09/05/2020 09:00,6.9,6.9,6.9,-1,-1
09/05/2020 10:00,9.71,9.71,9.71,-1,-1
09/05/2020 11:00,12.99,12.99,12.99,-1,-1
09/05/2020 12:00,16.64,16.64,16.64,-1,-1
09/05/2020 13:00,20.53,20.53,20.53,-1,-1
09/05/2020 14:00,24.53,24.53,24.53,-1,-1
09/05/2020 15:00,28.51,28.51,28.51,-1,-1
09/05/2020 16:00,32.39,32.39,32.39,-1,-1
09/05/2020 17:00,36.13,36.13,36.13,-1,-1
09/05/2020 18:00,39.71,39.71,39.71,-1,-1
09/05/2020 19:00,43.15,43.15,43.15,-1,-1
09/05/2020 20:00,46.46,46.46,46.46,-1,-1
09/05/2020 21:00,49.69,49.69,49.69,-1,-1
09/05/2020 22:00,52.92,52.92,52.92,-1,-1
09/05/2020 23:00,56.23,56.23,56.23,56.23,56.23
10/05/2020 00:00,59.63,59.68,59.74,59.63,59.74
10/05/2020 01:00,63.08,63.34,63.6,63.08,63.6
10/05/2020 02:00,66.46,67.16,67.87,66.46,67.87
10/05/2020 03:00,69.63,71.06,72.51,69.63,72.51
10/05/2020 04:00,72.39,74.9,77.44,72.39,77.44
10/05/2020 05:00,74.53,78.52,82.57,74.53,82.57
10/05/2020 06:00,75.8,81.75,87.81,75.8,87.81
10/05/2020 07:00,76.14,84.43,92.88,76.14,92.88
10/05/2020 08:00,75.55,86.39,97.43,75.55,97.43
10/05/2020 09:00,74.1,87.47,101.12,74.1,101.12
10/05/2020 10:00,71.86,87.57,103.64,71.86,103.64
10/05/2020 11:00,68.92,86.64,104.77,68.92,104.77
