Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE,R. GUAYUBÍN - YAQUE DEL NORTE
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0.01,0.01,0.01,-1,-1
09/05/2020 03:00,0.1,0.1,0.1,-1,-1
09/05/2020 04:00,0.47,0.47,0.47,-1,-1
09/05/2020 05:00,1.39,1.39,1.39,-1,-1
09/05/2020 06:00,3.19,3.19,3.19,-1,-1
09/05/2020 07:00,6.27,6.27,6.27,-1,-1
09/05/2020 08:00,11.01,11.01,11.01,-1,-1
09/05/2020 09:00,17.55,17.55,17.55,-1,-1
09/05/2020 10:00,25.84,25.84,25.84,-1,-1
09/05/2020 11:00,35.81,35.81,35.81,-1,-1
09/05/2020 12:00,47.59,47.59,47.59,-1,-1
09/05/2020 13:00,61.69,61.69,61.69,-1,-1
09/05/2020 14:00,79.26,79.26,79.26,-1,-1
09/05/2020 15:00,102.17,102.17,102.17,-1,-1
09/05/2020 16:00,132.65,132.65,132.65,-1,-1
09/05/2020 17:00,172.63,172.63,172.63,-1,-1
09/05/2020 18:00,223.15,223.15,223.15,-1,-1
09/05/2020 19:00,283.92,283.92,283.92,-1,-1
09/05/2020 20:00,353.21,353.21,353.21,-1,-1
09/05/2020 21:00,428.1,428.1,428.1,-1,-1
09/05/2020 22:00,505.08,505.08,505.08,-1,-1
09/05/2020 23:00,580.66,580.66,580.66,580.66,580.66
10/05/2020 00:00,651.68,651.88,652.09,651.68,652.09
10/05/2020 01:00,715.75,716.84,717.94,715.75,717.94
10/05/2020 02:00,771.85,774.85,777.88,771.85,777.88
10/05/2020 03:00,820.08,826.32,832.65,820.08,832.65
10/05/2020 04:00,861.21,872.46,883.9,861.21,883.9
10/05/2020 05:00,896.72,914.93,933.47,896.72,933.47
10/05/2020 06:00,928.79,955.53,982.82,928.79,982.82
10/05/2020 07:00,959.27,996.02,1033.57,959.27,1033.57
10/05/2020 08:00,989.03,1037.81,1087.72,989.03,1087.72
10/05/2020 09:00,1017.21,1081.74,1147.8,1017.21,1147.8
10/05/2020 10:00,1041.47,1127.82,1216.22,1041.47,1216.22
10/05/2020 11:00,1058.12,1175.05,1294.71,1058.12,1294.71
