Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH. PUENTE SAN RAFAEL,EH. PUENTE SAN RAFAEL,EH. PUENTE SAN RAFAEL,EH. PUENTE SAN RAFAEL,EH. PUENTE SAN RAFAEL
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,10,10,10,-1,-1
08/05/2020 00:00,10,10,10,-1,-1
08/05/2020 01:00,10,10,10,-1,-1
08/05/2020 02:00,10,10,10,-1,-1
08/05/2020 03:00,10,10,10,-1,-1
08/05/2020 04:00,10,10,10,-1,-1
08/05/2020 05:00,10,10,10,-1,-1
08/05/2020 06:00,10,10,10,-1,-1
08/05/2020 07:00,10,10,10,-1,-1
08/05/2020 08:00,10,10,10,-1,-1
08/05/2020 09:00,10,10,10,-1,-1
08/05/2020 10:00,10,10,10,-1,-1
08/05/2020 11:00,10,10,10,-1,-1
08/05/2020 12:00,10,10,10,-1,-1
08/05/2020 13:00,10,10,10,-1,-1
08/05/2020 14:00,10,10,10,-1,-1
08/05/2020 15:00,10,10,10,-1,-1
08/05/2020 16:00,10,10,10,-1,-1
08/05/2020 17:00,10,10,10,-1,-1
08/05/2020 18:00,10,10,10,-1,-1
08/05/2020 19:00,10,10,10,-1,-1
08/05/2020 20:00,10,10,10,-1,-1
08/05/2020 21:00,10,10,10,-1,-1
08/05/2020 22:00,10,10,10,-1,-1
08/05/2020 23:00,10,10,10,-1,-1
09/05/2020 00:00,10,10,10,-1,-1
09/05/2020 01:00,10,10,10,-1,-1
09/05/2020 02:00,10,10,10,-1,-1
09/05/2020 03:00,10.04,10.04,10.04,-1,-1
09/05/2020 04:00,10.18,10.18,10.18,-1,-1
09/05/2020 05:00,10.48,10.48,10.48,-1,-1
09/05/2020 06:00,11.05,11.05,11.05,-1,-1
09/05/2020 07:00,11.99,11.99,11.99,-1,-1
09/05/2020 08:00,13.51,13.51,13.51,-1,-1
09/05/2020 09:00,15.98,15.98,15.98,-1,-1
09/05/2020 10:00,19.94,19.94,19.94,-1,-1
09/05/2020 11:00,26.14,26.14,26.14,-1,-1
09/05/2020 12:00,35.49,35.49,35.49,-1,-1
09/05/2020 13:00,48.82,48.82,48.82,-1,-1
09/05/2020 14:00,66.8,66.8,66.8,-1,-1
09/05/2020 15:00,89.96,89.96,89.96,-1,-1
09/05/2020 16:00,118.78,118.78,118.78,-1,-1
09/05/2020 17:00,153.77,153.77,153.77,-1,-1
09/05/2020 18:00,195.35,195.35,195.35,-1,-1
09/05/2020 19:00,243.74,243.74,243.74,-1,-1
09/05/2020 20:00,298.89,298.89,298.89,-1,-1
09/05/2020 21:00,360.45,360.45,360.45,-1,-1
09/05/2020 22:00,428.03,428.03,428.03,-1,-1
09/05/2020 23:00,501.33,501.33,501.33,501.33,501.33
10/05/2020 00:00,580.26,580.31,580.37,580.26,580.37
10/05/2020 01:00,664.88,665.17,665.45,664.88,665.45
10/05/2020 02:00,755.25,756.06,756.87,755.25,756.87
10/05/2020 03:00,851.09,852.86,854.65,851.09,854.65
10/05/2020 04:00,951.27,954.99,958.75,951.27,958.75
10/05/2020 05:00,1054.03,1061.63,1069.33,1054.03,1069.33
10/05/2020 06:00,1157.35,1172.03,1186.94,1157.35,1186.94
10/05/2020 07:00,1259.76,1285.76,1312.22,1259.76,1312.22
10/05/2020 08:00,1360.79,1402.55,1445.15,1360.79,1445.15
10/05/2020 09:00,1460.48,1522.03,1584.98,1460.48,1584.98
10/05/2020 10:00,1558.3,1643.31,1730.42,1558.3,1730.42
10/05/2020 11:00,1652.61,1764.74,1879.82,1652.61,1879.82
