Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. YAQUE - CANA,R. YAQUE - CANA,R. YAQUE - CANA,R. YAQUE - CANA,R. YAQUE - CANA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,10,10,10,-1,-1
08/05/2020 00:00,10,10,10,-1,-1
08/05/2020 01:00,10,10,10,-1,-1
08/05/2020 02:00,10,10,10,-1,-1
08/05/2020 03:00,10,10,10,-1,-1
08/05/2020 04:00,10,10,10,-1,-1
08/05/2020 05:00,10,10,10,-1,-1
08/05/2020 06:00,10,10,10,-1,-1
08/05/2020 07:00,10,10,10,-1,-1
08/05/2020 08:00,10,10,10,-1,-1
08/05/2020 09:00,10,10,10,-1,-1
08/05/2020 10:00,10,10,10,-1,-1
08/05/2020 11:00,10,10,10,-1,-1
08/05/2020 12:00,10,10,10,-1,-1
08/05/2020 13:00,10,10,10,-1,-1
08/05/2020 14:00,10,10,10,-1,-1
08/05/2020 15:00,10,10,10,-1,-1
08/05/2020 16:00,10,10,10,-1,-1
08/05/2020 17:00,10,10,10,-1,-1
08/05/2020 18:00,10,10,10,-1,-1
08/05/2020 19:00,10,10,10,-1,-1
08/05/2020 20:00,10,10,10,-1,-1
08/05/2020 21:00,10,10,10,-1,-1
08/05/2020 22:00,10,10,10,-1,-1
08/05/2020 23:00,10,10,10,-1,-1
09/05/2020 00:00,10,10,10,-1,-1
09/05/2020 01:00,10.01,10.01,10.01,-1,-1
09/05/2020 02:00,10.16,10.16,10.16,-1,-1
09/05/2020 03:00,10.71,10.71,10.71,-1,-1
09/05/2020 04:00,12.04,12.04,12.04,-1,-1
09/05/2020 05:00,14.58,14.58,14.58,-1,-1
09/05/2020 06:00,18.75,18.75,18.75,-1,-1
09/05/2020 07:00,25.07,25.07,25.07,-1,-1
09/05/2020 08:00,34.1,34.1,34.1,-1,-1
09/05/2020 09:00,46.39,46.39,46.39,-1,-1
09/05/2020 10:00,62.46,62.46,62.46,-1,-1
09/05/2020 11:00,82.61,82.61,82.61,-1,-1
09/05/2020 12:00,107,107,107,-1,-1
09/05/2020 13:00,135.62,135.62,135.62,-1,-1
09/05/2020 14:00,168.21,168.21,168.21,-1,-1
09/05/2020 15:00,204.19,204.19,204.19,-1,-1
09/05/2020 16:00,242.78,242.78,242.78,-1,-1
09/05/2020 17:00,283.16,283.16,283.16,-1,-1
09/05/2020 18:00,324.46,324.46,324.46,-1,-1
09/05/2020 19:00,366.03,366.03,366.03,-1,-1
09/05/2020 20:00,407.47,407.47,407.47,-1,-1
09/05/2020 21:00,448.6,448.6,448.6,-1,-1
09/05/2020 22:00,489.37,489.37,489.37,-1,-1
09/05/2020 23:00,529.87,529.87,529.87,529.87,529.87
10/05/2020 00:00,570.13,570.43,570.73,570.13,570.73
10/05/2020 01:00,610.26,611.68,613.11,610.26,613.11
10/05/2020 02:00,650.55,654.47,658.44,650.55,658.44
10/05/2020 03:00,691.58,699.64,707.81,691.58,707.81
10/05/2020 04:00,733.78,747.82,762.06,733.78,762.06
10/05/2020 05:00,777.06,799.4,822.1,777.06,822.1
10/05/2020 06:00,820.88,854.55,888.78,820.88,888.78
10/05/2020 07:00,864.3,913.03,962.63,864.3,962.63
10/05/2020 08:00,906.34,974.24,1043.41,906.34,1043.41
10/05/2020 09:00,946.54,1037.21,1129.67,946.54,1129.67
10/05/2020 10:00,984.89,1100.76,1219.05,984.89,1219.05
10/05/2020 11:00,1021.73,1163.67,1308.75,1021.73,1308.75
