Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH. INOA,EH. INOA,EH. INOA,EH. INOA,EH. INOA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0.06,0.06,0.06,-1,-1
09/05/2020 07:00,0.76,0.76,0.76,-1,-1
09/05/2020 08:00,3.35,3.35,3.35,-1,-1
09/05/2020 09:00,9.57,9.57,9.57,-1,-1
09/05/2020 10:00,21.67,21.67,21.67,-1,-1
09/05/2020 11:00,41.22,41.22,41.22,-1,-1
09/05/2020 12:00,68.24,68.24,68.24,-1,-1
09/05/2020 13:00,101.32,101.32,101.32,-1,-1
09/05/2020 14:00,137.98,137.98,137.98,-1,-1
09/05/2020 15:00,175.23,175.23,175.23,-1,-1
09/05/2020 16:00,210.33,210.33,210.33,-1,-1
09/05/2020 17:00,241.21,241.21,241.21,-1,-1
09/05/2020 18:00,267.34,267.34,267.34,-1,-1
09/05/2020 19:00,289.33,289.33,289.33,-1,-1
09/05/2020 20:00,308.14,308.14,308.14,-1,-1
09/05/2020 21:00,324.83,324.83,324.83,-1,-1
09/05/2020 22:00,340.65,340.65,340.65,-1,-1
09/05/2020 23:00,357.03,357.03,357.03,357.03,357.03
10/05/2020 00:00,374.42,375.54,376.66,374.42,376.66
10/05/2020 01:00,391.41,397.53,403.74,391.41,403.74
10/05/2020 02:00,406.53,423.81,441.4,406.53,441.4
10/05/2020 03:00,416.44,454.17,492.71,416.44,492.71
10/05/2020 04:00,419.03,487.34,557.39,419.03,557.39
10/05/2020 05:00,415.7,521.42,630.29,415.7,630.29
10/05/2020 06:00,408.53,554.3,705.06,408.53,705.06
10/05/2020 07:00,398.56,583.7,775.96,398.56,775.96
10/05/2020 08:00,386.92,607.13,836.67,386.92,836.67
10/05/2020 09:00,373.35,622.15,882.37,373.35,882.37
10/05/2020 10:00,358.79,626.94,908.22,358.79,908.22
10/05/2020 11:00,343.05,620.71,912.73,343.05,912.73
