Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA,E. LÓPEZ ANGOSTURA
Tipo:,E,E,E,E,E
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,10,10,10,-1,-1
08/05/2020 00:00,10,10,10,-1,-1
08/05/2020 01:00,10,10,10,-1,-1
08/05/2020 02:00,10,10,10,-1,-1
08/05/2020 03:00,10,10,10,-1,-1
08/05/2020 04:00,10,10,10,-1,-1
08/05/2020 05:00,10,10,10,-1,-1
08/05/2020 06:00,10,10,10,-1,-1
08/05/2020 07:00,10,10,10,-1,-1
08/05/2020 08:00,10,10,10,-1,-1
08/05/2020 09:00,10,10,10,-1,-1
08/05/2020 10:00,10,10,10,-1,-1
08/05/2020 11:00,10,10,10,-1,-1
08/05/2020 12:00,10,10,10,-1,-1
08/05/2020 13:00,10,10,10,-1,-1
08/05/2020 14:00,10,10,10,-1,-1
08/05/2020 15:00,10,10,10,-1,-1
08/05/2020 16:00,10,10,10,-1,-1
08/05/2020 17:00,10,10,10,-1,-1
08/05/2020 18:00,10,10,10,-1,-1
08/05/2020 19:00,10,10,10,-1,-1
08/05/2020 20:00,10,10,10,-1,-1
08/05/2020 21:00,10,10,10,-1,-1
08/05/2020 22:00,10,10,10,-1,-1
08/05/2020 23:00,10,10,10,-1,-1
09/05/2020 00:00,10,10,10,-1,-1
09/05/2020 01:00,10,10,10,-1,-1
09/05/2020 02:00,10,10,10,-1,-1
09/05/2020 03:00,10,10,10,-1,-1
09/05/2020 04:00,10.09,10.09,10.09,-1,-1
09/05/2020 05:00,10.74,10.74,10.74,-1,-1
09/05/2020 06:00,12.87,12.87,12.87,-1,-1
09/05/2020 07:00,17.31,17.31,17.31,-1,-1
09/05/2020 08:00,24.06,24.06,24.06,-1,-1
09/05/2020 09:00,32.45,32.45,32.45,-1,-1
09/05/2020 10:00,41.51,41.51,41.51,-1,-1
09/05/2020 11:00,50.32,50.32,50.32,-1,-1
09/05/2020 12:00,58.18,58.18,58.18,-1,-1
09/05/2020 13:00,64.41,64.41,64.41,-1,-1
09/05/2020 14:00,68.49,68.49,68.49,-1,-1
09/05/2020 15:00,70.5,70.5,70.5,-1,-1
09/05/2020 16:00,71.09,71.09,71.09,-1,-1
09/05/2020 17:00,71.12,71.12,71.12,-1,-1
09/05/2020 18:00,71.21,71.21,71.21,-1,-1
09/05/2020 19:00,71.62,71.62,71.62,-1,-1
09/05/2020 20:00,72.29,72.29,72.29,-1,-1
09/05/2020 21:00,73.19,73.19,73.19,-1,-1
09/05/2020 22:00,74.54,74.54,74.54,-1,-1
09/05/2020 23:00,76.91,76.91,76.91,76.91,76.91
10/05/2020 00:00,80.15,80.76,81.38,80.15,81.38
10/05/2020 01:00,82.62,85.98,89.35,82.62,89.35
10/05/2020 02:00,82.07,91.79,101.6,82.07,101.6
10/05/2020 03:00,78.71,97.29,116.09,78.71,116.09
10/05/2020 04:00,74.21,101.89,129.99,74.21,129.99
10/05/2020 05:00,69.9,105.37,141.49,69.9,141.49
10/05/2020 06:00,66.62,107.57,149.41,66.62,149.41
10/05/2020 07:00,64.02,108.1,153.25,64.02,153.25
10/05/2020 08:00,61.28,106.52,152.96,61.28,152.96
10/05/2020 09:00,58.05,102.74,148.68,58.05,148.68
10/05/2020 10:00,54.3,97,140.93,54.3,140.93
10/05/2020 11:00,50.11,89.74,130.55,50.11,130.55
