Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,E. MONCIÓN,E. MONCIÓN,E. MONCIÓN,E. MONCIÓN,E. MONCIÓN
Tipo:,E,E,E,E,E
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,5,5,5,-1,-1
08/05/2020 00:00,5,5,5,-1,-1
08/05/2020 01:00,5,5,5,-1,-1
08/05/2020 02:00,5,5,5,-1,-1
08/05/2020 03:00,5,5,5,-1,-1
08/05/2020 04:00,5,5,5,-1,-1
08/05/2020 05:00,5,5,5,-1,-1
08/05/2020 06:00,5,5,5,-1,-1
08/05/2020 07:00,5,5,5,-1,-1
08/05/2020 08:00,5,5,5,-1,-1
08/05/2020 09:00,5,5,5,-1,-1
08/05/2020 10:00,5,5,5,-1,-1
08/05/2020 11:00,5,5,5,-1,-1
08/05/2020 12:00,5,5,5,-1,-1
08/05/2020 13:00,5,5,5,-1,-1
08/05/2020 14:00,5,5,5,-1,-1
08/05/2020 15:00,5,5,5,-1,-1
08/05/2020 16:00,5,5,5,-1,-1
08/05/2020 17:00,5,5,5,-1,-1
08/05/2020 18:00,5,5,5,-1,-1
08/05/2020 19:00,5,5,5,-1,-1
08/05/2020 20:00,5,5,5,-1,-1
08/05/2020 21:00,5,5,5,-1,-1
08/05/2020 22:00,5,5,5,-1,-1
08/05/2020 23:00,5,5,5,-1,-1
09/05/2020 00:00,5,5,5,-1,-1
09/05/2020 01:00,5,5,5,-1,-1
09/05/2020 02:00,5,5,5,-1,-1
09/05/2020 03:00,5,5,5,-1,-1
09/05/2020 04:00,5,5,5,-1,-1
09/05/2020 05:00,5.11,5.11,5.11,-1,-1
09/05/2020 06:00,5.66,5.66,5.66,-1,-1
09/05/2020 07:00,7.19,7.19,7.19,-1,-1
09/05/2020 08:00,10.41,10.41,10.41,-1,-1
09/05/2020 09:00,15.86,15.86,15.86,-1,-1
09/05/2020 10:00,23.58,23.58,23.58,-1,-1
09/05/2020 11:00,33.15,33.15,33.15,-1,-1
09/05/2020 12:00,43.77,43.77,43.77,-1,-1
09/05/2020 13:00,54.43,54.43,54.43,-1,-1
09/05/2020 14:00,64.21,64.21,64.21,-1,-1
09/05/2020 15:00,72.49,72.49,72.49,-1,-1
09/05/2020 16:00,79.25,79.25,79.25,-1,-1
09/05/2020 17:00,84.8,84.8,84.8,-1,-1
09/05/2020 18:00,89.48,89.48,89.48,-1,-1
09/05/2020 19:00,93.65,93.65,93.65,-1,-1
09/05/2020 20:00,97.63,97.63,97.63,-1,-1
09/05/2020 21:00,101.79,101.79,101.79,-1,-1
09/05/2020 22:00,106.54,106.54,106.54,-1,-1
09/05/2020 23:00,112.34,112.34,112.34,112.34,112.34
10/05/2020 00:00,119.12,119.51,119.91,119.12,119.91
10/05/2020 01:00,125.85,128.01,130.2,125.85,130.2
10/05/2020 02:00,131.25,137.4,143.64,131.25,143.64
10/05/2020 03:00,133.6,147.02,160.68,133.6,160.68
10/05/2020 04:00,132.67,156.25,180.35,132.67,180.35
10/05/2020 05:00,129.3,164.41,200.43,129.3,200.43
10/05/2020 06:00,124.23,170.79,218.74,124.23,218.74
10/05/2020 07:00,118.14,174.7,233.15,118.14,233.15
10/05/2020 08:00,111.36,175.62,242.24,111.36,242.24
10/05/2020 09:00,104.47,173.37,245.01,104.47,245.01
10/05/2020 10:00,97.6,167.97,241.35,97.6,241.35
10/05/2020 11:00,90.29,159.63,232.11,90.29,232.11
