Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH EL HIGUERO,EH EL HIGUERO,EH EL HIGUERO,EH EL HIGUERO,EH EL HIGUERO
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0,0,0,-1,-1
09/05/2020 08:00,0.11,0.11,0.11,-1,-1
09/05/2020 09:00,1.21,1.21,1.21,-1,-1
09/05/2020 10:00,5.14,5.14,5.14,-1,-1
09/05/2020 11:00,13.93,13.93,13.93,-1,-1
09/05/2020 12:00,28.05,28.05,28.05,-1,-1
09/05/2020 13:00,46.32,46.32,46.32,-1,-1
09/05/2020 14:00,66.38,66.38,66.38,-1,-1
09/05/2020 15:00,85.21,85.21,85.21,-1,-1
09/05/2020 16:00,100.59,100.59,100.59,-1,-1
09/05/2020 17:00,111.95,111.95,111.95,-1,-1
09/05/2020 18:00,120.14,120.14,120.14,-1,-1
09/05/2020 19:00,126.61,126.61,126.61,-1,-1
09/05/2020 20:00,132.54,132.54,132.54,-1,-1
09/05/2020 21:00,138.47,138.47,138.47,-1,-1
09/05/2020 22:00,144.51,144.51,144.51,-1,-1
09/05/2020 23:00,150.81,150.81,150.81,150.81,150.81
10/05/2020 00:00,156.93,158.23,159.55,156.93,159.55
10/05/2020 01:00,160.96,168.3,175.74,160.96,175.74
10/05/2020 02:00,160.17,182.06,204.4,160.17,204.4
10/05/2020 03:00,155.37,199.07,243.99,155.37,243.99
10/05/2020 04:00,149.54,217.41,287.73,149.54,287.73
10/05/2020 05:00,144.51,234.9,329.31,144.51,329.31
10/05/2020 06:00,141.3,250.1,364.6,141.3,364.6
10/05/2020 07:00,139.97,262.29,391.9,139.97,391.9
10/05/2020 08:00,138.82,270.69,411.17,138.82,411.17
10/05/2020 09:00,136.6,274.02,421,136.6,421
10/05/2020 10:00,132.54,271.14,419.84,132.54,419.84
10/05/2020 11:00,126.2,261.82,407.64,126.2,407.64
