Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. MAGUA - E. MAO,R. MAGUA - E. MAO,R. MAGUA - E. MAO,R. MAGUA - E. MAO,R. MAGUA - E. MAO
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0,0,0,-1,-1
09/05/2020 05:00,0,0,0,-1,-1
09/05/2020 06:00,0,0,0,-1,-1
09/05/2020 07:00,0.27,0.27,0.27,-1,-1
09/05/2020 08:00,1.94,1.94,1.94,-1,-1
09/05/2020 09:00,7,7,7,-1,-1
09/05/2020 10:00,17.59,17.59,17.59,-1,-1
09/05/2020 11:00,34.26,34.26,34.26,-1,-1
09/05/2020 12:00,55.87,55.87,55.87,-1,-1
09/05/2020 13:00,80.07,80.07,80.07,-1,-1
09/05/2020 14:00,103.75,103.75,103.75,-1,-1
09/05/2020 15:00,124.16,124.16,124.16,-1,-1
09/05/2020 16:00,140.19,140.19,140.19,-1,-1
09/05/2020 17:00,152.25,152.25,152.25,-1,-1
09/05/2020 18:00,161.62,161.62,161.62,-1,-1
09/05/2020 19:00,169.63,169.63,169.63,-1,-1
09/05/2020 20:00,177.2,177.2,177.2,-1,-1
09/05/2020 21:00,184.79,184.79,184.79,-1,-1
09/05/2020 22:00,192.8,192.8,192.8,-1,-1
09/05/2020 23:00,202.08,202.08,202.08,202.08,202.08
10/05/2020 00:00,212.61,214.03,215.46,212.61,215.46
10/05/2020 01:00,222.01,229.77,237.64,222.01,237.64
10/05/2020 02:00,226.26,249.17,272.52,226.26,272.52
10/05/2020 03:00,223.36,270.7,319.22,223.36,319.22
10/05/2020 04:00,216.22,292.23,370.62,216.22,370.62
10/05/2020 05:00,207.52,311.91,420.23,207.52,420.23
10/05/2020 06:00,199.15,328.34,463.2,199.15,463.2
10/05/2020 07:00,192.51,340.29,495.44,192.51,495.44
10/05/2020 08:00,186.76,346.43,514.88,186.76,514.88
10/05/2020 09:00,179.95,345.55,520.93,179.95,520.93
10/05/2020 10:00,171.12,337.15,513.46,171.12,513.46
10/05/2020 11:00,160.21,321.56,493.24,160.21,493.24
