Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,EH. SABANETA,EH. SABANETA,EH. SABANETA,EH. SABANETA,EH. SABANETA
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,5,5,5,-1,-1
08/05/2020 00:00,5,5,5,-1,-1
08/05/2020 01:00,5,5,5,-1,-1
08/05/2020 02:00,5,5,5,-1,-1
08/05/2020 03:00,5,5,5,-1,-1
08/05/2020 04:00,5,5,5,-1,-1
08/05/2020 05:00,5,5,5,-1,-1
08/05/2020 06:00,5,5,5,-1,-1
08/05/2020 07:00,5,5,5,-1,-1
08/05/2020 08:00,5,5,5,-1,-1
08/05/2020 09:00,5,5,5,-1,-1
08/05/2020 10:00,5,5,5,-1,-1
08/05/2020 11:00,5,5,5,-1,-1
08/05/2020 12:00,5,5,5,-1,-1
08/05/2020 13:00,5,5,5,-1,-1
08/05/2020 14:00,5,5,5,-1,-1
08/05/2020 15:00,5,5,5,-1,-1
08/05/2020 16:00,5,5,5,-1,-1
08/05/2020 17:00,5,5,5,-1,-1
08/05/2020 18:00,5,5,5,-1,-1
08/05/2020 19:00,5,5,5,-1,-1
08/05/2020 20:00,5,5,5,-1,-1
08/05/2020 21:00,5,5,5,-1,-1
08/05/2020 22:00,5,5,5,-1,-1
08/05/2020 23:00,5,5,5,-1,-1
09/05/2020 00:00,5,5,5,-1,-1
09/05/2020 01:00,5,5,5,-1,-1
09/05/2020 02:00,5.01,5.01,5.01,-1,-1
09/05/2020 03:00,5.21,5.21,5.21,-1,-1
09/05/2020 04:00,6.11,6.11,6.11,-1,-1
09/05/2020 05:00,8.41,8.41,8.41,-1,-1
09/05/2020 06:00,12.96,12.96,12.96,-1,-1
09/05/2020 07:00,20.81,20.81,20.81,-1,-1
09/05/2020 08:00,33.17,33.17,33.17,-1,-1
09/05/2020 09:00,50.96,50.96,50.96,-1,-1
09/05/2020 10:00,74.33,74.33,74.33,-1,-1
09/05/2020 11:00,102.76,102.76,102.76,-1,-1
09/05/2020 12:00,135.21,135.21,135.21,-1,-1
09/05/2020 13:00,170.37,170.37,170.37,-1,-1
09/05/2020 14:00,206.74,206.74,206.74,-1,-1
09/05/2020 15:00,242.9,242.9,242.9,-1,-1
09/05/2020 16:00,278.08,278.08,278.08,-1,-1
09/05/2020 17:00,312.21,312.21,312.21,-1,-1
09/05/2020 18:00,345.84,345.84,345.84,-1,-1
09/05/2020 19:00,380.13,380.13,380.13,-1,-1
09/05/2020 20:00,417.04,417.04,417.04,-1,-1
09/05/2020 21:00,458.86,458.86,458.86,-1,-1
09/05/2020 22:00,507.52,507.52,507.52,-1,-1
09/05/2020 23:00,564.29,564.29,564.29,564.29,564.29
10/05/2020 00:00,628.98,629.52,630.06,628.98,630.06
10/05/2020 01:00,699.62,702.51,705.41,699.62,705.41
10/05/2020 02:00,773.25,781.25,789.34,773.25,789.34
10/05/2020 03:00,846.04,862.65,879.48,846.04,879.48
10/05/2020 04:00,913.38,943.13,973.32,913.38,973.32
10/05/2020 05:00,970.88,1019.34,1068.57,970.88,1068.57
10/05/2020 06:00,1016.09,1088.46,1162.1,1016.09,1162.1
10/05/2020 07:00,1048.75,1148.32,1249.77,1048.75,1249.77
10/05/2020 08:00,1069.58,1197.42,1327.86,1069.58,1327.86
10/05/2020 09:00,1080.2,1235.04,1393.25,1080.2,1393.25
10/05/2020 10:00,1082.23,1261.19,1444.29,1082.23,1444.29
10/05/2020 11:00,1077.69,1276.56,1480.28,1077.69,1480.28
