Instante actual:,09/05/2020 23:00,,,,
Valor inválido:,-1,,,,
Nombre variable:,R. AMINA - R. YAQUE DEL NORTE,R. AMINA - R. YAQUE DEL NORTE,R. AMINA - R. YAQUE DEL NORTE,R. AMINA - R. YAQUE DEL NORTE,R. AMINA - R. YAQUE DEL NORTE
Tipo:,Q,Q,Q,Q,Q
Modelo:,Prev_R,Prev_1,Prev_A,Min_Scns_Fut,Max_Scns_Fut
Instante \ unidades:,M3/S,M3/S,M3/S,m3/s,m3/s
07/05/2020 23:00,0,0,0,-1,-1
08/05/2020 00:00,0,0,0,-1,-1
08/05/2020 01:00,0,0,0,-1,-1
08/05/2020 02:00,0,0,0,-1,-1
08/05/2020 03:00,0,0,0,-1,-1
08/05/2020 04:00,0,0,0,-1,-1
08/05/2020 05:00,0,0,0,-1,-1
08/05/2020 06:00,0,0,0,-1,-1
08/05/2020 07:00,0,0,0,-1,-1
08/05/2020 08:00,0,0,0,-1,-1
08/05/2020 09:00,0,0,0,-1,-1
08/05/2020 10:00,0,0,0,-1,-1
08/05/2020 11:00,0,0,0,-1,-1
08/05/2020 12:00,0,0,0,-1,-1
08/05/2020 13:00,0,0,0,-1,-1
08/05/2020 14:00,0,0,0,-1,-1
08/05/2020 15:00,0,0,0,-1,-1
08/05/2020 16:00,0,0,0,-1,-1
08/05/2020 17:00,0,0,0,-1,-1
08/05/2020 18:00,0,0,0,-1,-1
08/05/2020 19:00,0,0,0,-1,-1
08/05/2020 20:00,0,0,0,-1,-1
08/05/2020 21:00,0,0,0,-1,-1
08/05/2020 22:00,0,0,0,-1,-1
08/05/2020 23:00,0,0,0,-1,-1
09/05/2020 00:00,0,0,0,-1,-1
09/05/2020 01:00,0,0,0,-1,-1
09/05/2020 02:00,0,0,0,-1,-1
09/05/2020 03:00,0,0,0,-1,-1
09/05/2020 04:00,0.01,0.01,0.01,-1,-1
09/05/2020 05:00,0.12,0.12,0.12,-1,-1
09/05/2020 06:00,0.65,0.65,0.65,-1,-1
09/05/2020 07:00,2.01,2.01,2.01,-1,-1
09/05/2020 08:00,4.7,4.7,4.7,-1,-1
09/05/2020 09:00,9.31,9.31,9.31,-1,-1
09/05/2020 10:00,16.54,16.54,16.54,-1,-1
09/05/2020 11:00,27,27,27,-1,-1
09/05/2020 12:00,40.98,40.98,40.98,-1,-1
09/05/2020 13:00,58.47,58.47,58.47,-1,-1
09/05/2020 14:00,79.4,79.4,79.4,-1,-1
09/05/2020 15:00,103.85,103.85,103.85,-1,-1
09/05/2020 16:00,132.28,132.28,132.28,-1,-1
09/05/2020 17:00,165.49,165.49,165.49,-1,-1
09/05/2020 18:00,204.28,204.28,204.28,-1,-1
09/05/2020 19:00,249.06,249.06,249.06,-1,-1
09/05/2020 20:00,299.39,299.39,299.39,-1,-1
09/05/2020 21:00,353.81,353.81,353.81,-1,-1
09/05/2020 22:00,410.19,410.19,410.19,-1,-1
09/05/2020 23:00,466.3,466.3,466.3,466.3,466.3
10/05/2020 00:00,520,520.34,520.69,520,520.69
10/05/2020 01:00,569.64,571.41,573.21,569.64,573.21
10/05/2020 02:00,614.56,619.54,624.59,614.56,624.59
10/05/2020 03:00,655.05,665.43,675.99,655.05,675.99
10/05/2020 04:00,691.25,709.89,728.93,691.25,728.93
10/05/2020 05:00,723,753.53,784.79,723,784.79
10/05/2020 06:00,750.13,796.75,844.56,750.13,844.56
10/05/2020 07:00,773.02,839.9,908.6,773.02,908.6
10/05/2020 08:00,791.71,883.23,977.42,791.71,977.42
10/05/2020 09:00,805.29,926.59,1051.6,805.29,1051.6
10/05/2020 10:00,812.23,969.16,1131.08,812.23,1131.08
10/05/2020 11:00,810.71,1009.48,1214.79,810.71,1214.79
